Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
239,-1.003,-2.6224,-2.6224,-1.003
240,-0.969952,-2.63253,-2.63253,-0.969952
241,-0.879109,-2.64194,-2.64194,-0.879109
242,-0.662335,-2.66852,-2.66852,-0.662335
243,-0.185026,-2.7292,-2.7292,-0.185026
244,0.816197,-2.83179,-2.83179,0.816197
245,2.81514,-2.91257,-2.91257,2.81514
246,3.06407,-2.92619,-2.92619,3.06407
247,2.92841,-2.92567,-2.92567,2.92841
248,2.8005,-2.92516,-2.92516,2.8005
249,2.68027,-2.92463,-2.92463,2.68027
250,2.56726,-2.9241,-2.9241,2.56726
251,2.46104,-2.92355,-2.92355,2.46104
252,2.36119,-2.92298,-2.92298,2.36119
253,2.26734,-2.92239,-2.92239,2.26734
254,2.17911,-2.92179,-2.92179,2.17911
255,2.09617,-2.92117,-2.92117,2.09617
256,2.01819,-2.92053,-2.92053,2.01819
257,1.94488,-2.91988,-2.91988,1.94488
258,1.87596,-2.9192,-2.9192,1.87596
259,1.81115,-2.91851,-2.91851,1.81115
260,1.75022,-2.9178,-2.9178,1.75022
261,1.69292,-2.91707,-2.91707,1.69292
262,1.63904,-2.91633,-2.91633,1.63904
263,1.58838,-2.91558,-2.91558,1.58838
264,1.54073,-2.91481,-2.91481,1.54073
265,1.49592,-2.91403,-2.91403,1.49592
266,1.45378,-2.91324,-2.91324,1.45378
267,1.41414,-2.91244,-2.91244,1.41414
268,1.37686,-2.91164,-2.91164,1.37686
269,1.3418,-2.91084,-2.91084,1.3418
270,1.30881,-2.91003,-2.91003,1.30881
271,1.27778,-2.90922,-2.90922,1.27778
272,1.24859,-2.90841,-2.90841,1.24859
273,1.22113,-2.9076,-2.9076,1.22113
274,1.1953,-2.90679,-2.90679,1.1953
275,1.17099,-2.90599,-2.90599,1.17099
276,1.14811,-2.90519,-2.90519,1.14811
277,1.12659,-2.9044,-2.9044,1.12659
278,1.10634,-2.90361,-2.90361,1.10634
279,1.08727,-2.90284,-2.90284,1.08727
280,1.06933,-2.90207,-2.90207,1.06933
281,1.05244,-2.90131,-2.90131,1.05244
282,1.03655,-2.90056,-2.90056,1.03655
283,1.02158,-2.89982,-2.89982,1.02158
284,1.00749,-2.89908,-2.89908,1.00749
285,0.994219,-2.89836,-2.89836,0.994219
286,0.970161,-2.89765,-2.89765,0.970161
287,0.910614,-2.89669,-2.89669,0.910614
288,0.782248,-2.89485,-2.89485,0.782248
289,0.52045,-2.89078,-2.89078,0.52045
290,-0.00120356,-2.87955,-2.87955,-0.00120356
291,-1.03849,-2.83496,-2.83496,-1.03849
292,-3.08726,-2.59532,-2.59532,-3.08726
293,-3.08398,-2.32009,-2.32009,-3.08398
294,-2.95158,-2.32818,-2.32818,-2.95158
295,-2.80933,-2.3305,-2.3305,-2.80933
296,-2.67555,-2.33412,-2.33412,-2.67555
297,-2.5493,-2.33854,-2.33854,-2.5493
298,-2.43011,-2.34386,-2.34386,-2.43011
299,-2.31751,-2.35015,-2.35015,-2.31751
300,-2.21106,-2.35748,-2.35748,-2.21106
301,-2.11035,-2.36586,-2.36586,-2.11035
302,-2.01503,-2.37529,-2.37529,-2.01503
303,-1.92477,-2.38575,-2.38575,-1.92477
304,-1.83931,-2.39717,-2.39717,-1.83931
305,-1.75838,-2.40947,-2.40947,-1.75838
306,-1.68179,-2.42253,-2.42253,-1.68179
307,-1.60933,-2.4362,-2.4362,-1.60933
308,-1.54086,-2.45032,-2.45032,-1.54086
309,-1.47621,-2.46473,-2.46473,-1.47621
310,-1.41527,-2.47926,-2.47926,-1.41527
311,-1.35789,-2.49375,-2.49375,-1.35789
312,-1.30395,-2.50802,-2.50802,-1.30395
313,-1.25332,-2.52196,-2.52196,-1.25332
314,-1.20588,-2.53545,-2.53545,-1.20588
315,-1.16149,-2.54839,-2.54839,-1.16149
316,-1.12,-2.56071,-2.56071,-1.12
317,-1.08127,-2.57237,-2.57237,-1.08127
318,-1.04517,-2.58335,-2.58335,-1.04517
319,-1.01153,-2.59363,-2.59363,-1.01153
320,-0.980212,-2.60323,-2.60323,-0.980212
321,-0.911503,-2.61214,-2.61214,-0.911503
322,-0.742694,-2.63222,-2.63222,-0.742694
323,-0.366234,-2.68056,-2.68056,-0.366234
324,0.432862,-2.77193,-2.77193,0.432862
325,2.04952,-2.86942,-2.86942,2.04952
326,3.10269,-2.89853,-2.89853,3.10269
327,2.96373,-2.89888,-2.89888,2.96373
328,2.83178,-2.89839,-2.89839,2.83178
329,2.70774,-2.8979,-2.8979,2.70774
330,2.59115,-2.89739,-2.89739,2.59115
331,2.48157,-2.89686,-2.89686,2.48157
332,2.37857,-2.89633,-2.89633,2.37857
333,2.28174,-2.89577,-2.89577,2.28174
334,2.19073,-2.89519,-2.89519,2.19073
335,2.10517,-2.8946,-2.8946,2.10517
336,2.02473,-2.89399,-2.89399,2.02473
337,1.94912,-2.89335,-2.89335,1.94912
338,1.87802,-2.8927,-2.8927,1.87802
339,1.81118,-2.89203,-2.89203,1.81118
340,1.74833,-2.89134,-2.89134,1.74833
341,1.68923,-2.89063,-2.89063,1.68923
342,1.63367,-2.8899,-2.8899,1.63367
343,1.58141,-2.88916,-2.88916,1.58141
344,1.53227,-2.88841,-2.88841,1.53227
345,1.48606,-2.88764,-2.88764,1.48606
346,1.4426,-2.88686,-2.88686,1.4426
347,1.40173,-2.88607,-2.88607,1.40173
348,1.36329,-2.88528,-2.88528,1.36329
349,1.32713,-2.88448,-2.88448,1.32713
350,1.29312,-2.88367,-2.88367,1.29312
351,1.26113,-2.88287,-2.88287,1.26113
352,1.23103,-2.88206,-2.88206,1.23103
353,1.20272,-2.88125,-2.88125,1.20272
354,1.17609,-2.88045,-2.88045,1.17609
355,1.15103,-2.87965,-2.87965,1.15103
356,1.12745,-2.87885,-2.87885,1.12745
357,1.10527,-2.87806,-2.87806,1.10527
358,1.0844,-2.87728,-2.87728,1.0844
359,1.06475,-2.8765,-2.8765,1.06475
360,1.04627,-2.87573,-2.87573,1.04627
361,1.02887,-2.87497,-2.87497,1.02887
362,1.01249,-2.87423,-2.87423,1.01249
363,0.997078,-2.87349,-2.87349,0.997078
