Time,VoltageFL,VoltageFR,VoltageBL,VoltageBR
212,-1.38253,-2.54173,-2.54173,-1.38253
213,-1.35182,-2.54956,-2.54956,-1.35182
214,-1.32204,-2.55735,-2.55735,-1.32204
215,-1.29317,-2.56508,-2.56508,-1.29317
216,-1.2652,-2.57273,-2.57273,-1.2652
217,-1.23812,-2.58028,-2.58028,-1.23812
218,-1.2119,-2.58772,-2.58772,-1.2119
219,-1.18653,-2.59502,-2.59502,-1.18653
220,-1.162,-2.60218,-2.60218,-1.162
221,-1.13827,-2.60917,-2.60917,-1.13827
222,-1.11534,-2.616,-2.616,-1.11534
223,-1.09319,-2.62265,-2.62265,-1.09319
224,-1.0718,-2.62912,-2.62912,-1.0718
225,-1.05114,-2.6354,-2.6354,-1.05114
226,-1.0312,-2.64148,-2.64148,-1.0312
227,-1.01196,-2.64736,-2.64736,-1.01196
228,-0.993401,-2.65305,-2.65305,-0.993401
229,-0.975497,-2.65855,-2.65855,-0.975497
230,-0.95231,-2.66384,-2.66384,-0.95231
231,-0.911434,-2.66983,-2.66983,-0.911434
232,-0.850874,-2.67879,-2.67879,-0.850874
233,-0.764825,-2.69205,-2.69205,-0.764825
234,-0.644976,-2.7109,-2.7109,-0.644976
235,-0.480387,-2.73655,-2.73655,-0.480387
236,-0.257163,-2.76954,-2.76954,-0.257163
237,0.041711,-2.80868,-2.80868,0.041711
238,0.43646,-2.84999,-2.84999,0.43646
239,0.951326,-2.8874,-2.8874,0.951326
240,1.61687,-2.91585,-2.91585,1.61687
241,2.39676,-2.93412,-2.93412,2.39676
242,2.76027,-2.94428,-2.94428,2.76027
243,2.91152,-2.94936,-2.94936,2.91152
244,2.95527,-2.95178,-2.95178,2.95527
245,2.9451,-2.95287,-2.95287,2.9451
246,2.90837,-2.95328,-2.95328,2.90837
247,2.85902,-2.95335,-2.95335,2.85902
248,2.80416,-2.95325,-2.95325,2.80416
249,2.74739,-2.95306,-2.95306,2.74739
250,2.69054,-2.95283,-2.95283,2.69054
251,2.63449,-2.95257,-2.95257,2.63449
252,2.57968,-2.9523,-2.9523,2.57968
253,2.5263,-2.95202,-2.95202,2.5263
254,2.47444,-2.95173,-2.95173,2.47444
255,2.42411,-2.95144,-2.95144,2.42411
256,2.37528,-2.95114,-2.95114,2.37528
257,2.32794,-2.95084,-2.95084,2.32794
258,2.28203,-2.95053,-2.95053,2.28203
259,2.23753,-2.95022,-2.95022,2.23753
260,2.19439,-2.94991,-2.94991,2.19439
261,2.15256,-2.94959,-2.94959,2.15256
262,2.11202,-2.94927,-2.94927,2.11202
263,2.07272,-2.94894,-2.94894,2.07272
264,2.03462,-2.94861,-2.94861,2.03462
265,1.99768,-2.94827,-2.94827,1.99768
266,1.96187,-2.94793,-2.94793,1.96187
267,1.92716,-2.94759,-2.94759,1.92716
268,1.89351,-2.94724,-2.94724,1.89351
269,1.86088,-2.94688,-2.94688,1.86088
270,1.82925,-2.94652,-2.94652,1.82925
271,1.79859,-2.94616,-2.94616,1.79859
272,1.76886,-2.9458,-2.9458,1.76886
273,1.74004,-2.94543,-2.94543,1.74004
274,1.71209,-2.94506,-2.94506,1.71209
275,1.685,-2.94468,-2.94468,1.685
276,1.65873,-2.9443,-2.9443,1.65873
277,1.63327,-2.94392,-2.94392,1.63327
278,1.60857,-2.94353,-2.94353,1.60857
279,1.58463,-2.94314,-2.94314,1.58463
280,1.56142,-2.94275,-2.94275,1.56142
281,1.53892,-2.94236,-2.94236,1.53892
282,1.51709,-2.94196,-2.94196,1.51709
283,1.49594,-2.94156,-2.94156,1.49594
284,1.47542,-2.94116,-2.94116,1.47542
285,1.45553,-2.94076,-2.94076,1.45553
286,1.43624,-2.94036,-2.94036,1.43624
287,1.41754,-2.93995,-2.93995,1.41754
288,1.3994,-2.93954,-2.93954,1.3994
289,1.38182,-2.93914,-2.93914,1.38182
290,1.36476,-2.93873,-2.93873,1.36476
291,1.34823,-2.93832,-2.93832,1.34823
292,1.33219,-2.93791,-2.93791,1.33219
293,1.31665,-2.9375,-2.9375,1.31665
294,1.30157,-2.9371,-2.9371,1.30157
295,1.28694,-2.93669,-2.93669,1.28694
296,1.27276,-2.93628,-2.93628,1.27276
297,1.25901,-2.93587,-2.93587,1.25901
298,1.24568,-2.93546,-2.93546,1.24568
299,1.23275,-2.93506,-2.93506,1.23275
300,1.2202,-2.93465,-2.93465,1.2202
301,1.20804,-2.93425,-2.93425,1.20804
302,1.19624,-2.93384,-2.93384,1.19624
303,1.1848,-2.93344,-2.93344,1.1848
304,1.1737,-2.93304,-2.93304,1.1737
305,1.16294,-2.93264,-2.93264,1.16294
306,1.1525,-2.93224,-2.93224,1.1525
307,1.14238,-2.93185,-2.93185,1.14238
308,1.13256,-2.93145,-2.93145,1.13256
309,1.12303,-2.93106,-2.93106,1.12303
310,1.11379,-2.93067,-2.93067,1.11379
311,1.10483,-2.93028,-2.93028,1.10483
312,1.09613,-2.92989,-2.92989,1.09613
313,1.0877,-2.92951,-2.92951,1.0877
314,1.07952,-2.92913,-2.92913,1.07952
315,1.07158,-2.92874,-2.92874,1.07158
316,1.06388,-2.92837,-2.92837,1.06388
317,1.05642,-2.92799,-2.92799,1.05642
318,1.04917,-2.92762,-2.92762,1.04917
319,1.04214,-2.92725,-2.92725,1.04214
320,1.03532,-2.92688,-2.92688,1.03532
321,1.0287,-2.92651,-2.92651,1.0287
322,1.02228,-2.92615,-2.92615,1.02228
323,1.01604,-2.92579,-2.92579,1.01604
324,1.01,-2.92543,-2.92543,1.01
325,1.00413,-2.92507,-2.92507,1.00413
326,0.998436,-2.92472,-2.92472,0.998436
327,0.99291,-2.92437,-2.92437,0.99291
328,0.986156,-2.92402,-2.92402,0.986156
329,0.974036,-2.92365,-2.92365,0.974036
330,0.956398,-2.92323,-2.92323,0.956398
331,0.931934,-2.9227,-2.9227,0.931934
332,0.898747,-2.92203,-2.92203,0.898747
333,0.854361,-2.92117,-2.92117,0.854361
334,0.795579,-2.92004,-2.92004,0.795579
335,0.718283,-2.91849,-2.91849,0.718283
336,0.617147,-2.91631,-2.91631,0.617147
337,0.485253,-2.9131,-2.9131,0.485253
338,0.313539,-2.90813,-2.90813,0.313539
339,0.0899677,-2.89998,-2.89998,0.0899677
340,-0.201842,-2.88559,-2.88559,-0.201842
341,-0.585081,-2.8583,-2.8583,-0.585081
342,-1.09398,-2.80418,-2.80418,-1.09398
343,-1.77678,-2.70447,-2.70447,-1.77678
344,-2.45202,-2.5718,-2.5718,-2.45202
345,-2.77916,-2.47002,-2.47002,-2.77916
346,-2.91435,-2.41313,-2.41313,-2.91435
347,-2.94892,-2.38358,-2.38358,-2.94892
348,-2.93167,-2.36883,-2.36883,-2.93167
349,-2.88827,-2.36188,-2.36188,-2.88827
350,-2.83216,-2.35904,-2.35904,-2.83216
351,-2.77035,-2.35841,-2.35841,-2.77035
352,-2.70648,-2.35904,-2.35904,-2.70648
353,-2.64243,-2.36042,-2.36042,-2.64243
354,-2.57916,-2.36232,-2.36232,-2.57916
355,-2.51714,-2.36461,-2.36461,-2.51714
356,-2.45657,-2.36722,-2.36722,-2.45657
357,-2.39757,-2.37013,-2.37013,-2.39757
358,-2.34013,-2.37333,-2.37333,-2.34013
359,-2.28425,-2.3768,-2.3768,-2.28425
360,-2.22989,-2.38056,-2.38056,-2.22989
361,-2.17701,-2.38461,-2.38461,-2.17701
362,-2.12558,-2.38893,-2.38893,-2.12558
363,-2.07554,-2.39354,-2.39354,-2.07554
364,-2.02686,-2.39842,-2.39842,-2.02686
365,-1.97949,-2.40358,-2.40358,-1.97949
366,-1.9334,-2.40901,-2.40901,-1.9334
367,-1.88856,-2.4147,-2.4147,-1.88856
368,-1.84492,-2.42064,-2.42064,-1.84492
369,-1.80246,-2.42681,-2.42681,-1.80246
370,-1.76114,-2.43322,-2.43322,-1.76114
371,-1.72095,-2.43982,-2.43982,-1.72095
372,-1.68185,-2.44662,-2.44662,-1.68185
373,-1.64382,-2.45359,-2.45359,-1.64382
374,-1.60685,-2.46071,-2.46071,-1.60685
375,-1.5709,-2.46796,-2.46796,-1.5709
376,-1.53597,-2.47531,-2.47531,-1.53597
377,-1.50202,-2.48275,-2.48275,-1.50202
378,-1.46906,-2.49025,-2.49025,-1.46906
379,-1.43705,-2.49778,-2.49778,-1.43705
380,-1.40598,-2.50533,-2.50533,-1.40598
381,-1.37584,-2.51287,-2.51287,-1.37584
382,-1.34661,-2.52038,-2.52038,-1.34661
383,-1.31827,-2.52784,-2.52784,-1.31827
384,-1.29081,-2.53523,-2.53523,-1.29081
